GOTERM,GONAME,Fasta,NaCl60gLRPKM,NaCl20_100_3.6gLRPKM,Treatment
GO:0006865,amino acid transport,TD01GL001663,1.935930273,2.324287135,20gNaCl
GO:0006865,amino acid transport,TD01GL001705,2.218631986,1.503115971,20gNaCl
GO:0006865,amino acid transport,TD01GL001706,1.976568215,1.540547913,20gNaCl
GO:0006865,amino acid transport,TD01GL001747,2.478137738,2.345267548,20gNaCl
GO:0006865,amino acid transport,TD01GL001748,1.999595416,2.00415427,20gNaCl
GO:0006865,amino acid transport,TD01GL001749,1.909931474,2.12966474,20gNaCl
GO:0006865,amino acid transport,TD01GL001750,1.786926589,1.948559106,20gNaCl
GO:0006865,amino acid transport,TD01GL001806,2.199097095,2.2836473,20gNaCl
GO:0006865,amino acid transport,TD01GL002063,1.548901587,1.822503919,20gNaCl
GO:0006865,amino acid transport,TD01GL002174,2.443968345,1.740761996,20gNaCl
GO:0006865,amino acid transport,TD01GL002198,1.384148604,0.809944295,20gNaCl
GO:0006865,amino acid transport,TD01GL002200,2.030188873,1.179602958,20gNaCl
GO:0006865,amino acid transport,TD01GL002364,2.246110053,1.456693213,20gNaCl
GO:0006865,amino acid transport,TD01GL002443,1.204574366,0.907136768,20gNaCl
GO:0006865,amino acid transport,TD01GL002681,1.756567016,1.857304351,20gNaCl
GO:0006865,amino acid transport,TD01GL002683,2.705398219,2.442191094,20gNaCl
GO:0006865,amino acid transport,TD01GL002793,2.116137442,1.964756891,20gNaCl
GO:0006865,amino acid transport,TD01GL002831,1.953369404,2.15936063,20gNaCl
GO:0006865,amino acid transport,TD01GL002833,1.410892038,1.733539991,20gNaCl
GO:0006865,amino acid transport,TD01GL002843,0.824169666,1.077995594,20gNaCl
GO:0006865,amino acid transport,TD01GL002888,1.399477582,1.793800103,20gNaCl
GO:0006865,amino acid transport,TD01GL002889,1.399256272,1.603295423,20gNaCl
GO:0006865,amino acid transport,TD01GL002890,2.636212099,1.8087638,20gNaCl
GO:0006865,amino acid transport,TD01GL002891,2.382471678,2.016184447,20gNaCl
